AWP-Sentence,Type-of-Sentence
Joan has 40.0 blue balloons,beforeState
Melanie has 41.0 blue balloon,beforeState
How many blue balloons do they have in total ?,questionState
Joan has 40.0 blue balloons,beforeState
Melanie has 41.0 blue balloon,beforeState
How many blue balloons do they have in total ?,questionState
Sandy has 10.0 books,beforeState
Benny has 24.0 books,beforeState
Tim has 33.0 books,beforeState
How many books do they have together ?,questionState
Sandy has 10.0 books,beforeState
Benny has 24.0 books,beforeState
Sally now has 15 cookies,afterState
Tim has 33.0 books,beforeState
How many books do they have together ?,questionState
Jason picked 46.0 pears,beforeState
Keith picked 47.0 pears,beforeState
Mike picked 12.0 pears from the pear tree,beforeState
How many pears were picked in total ?,questionState
Jason picked 46.0 pears,beforeState
Keith picked 47.0 pears,beforeState
Mike picked 12.0 pears from the pear tree,beforeState
How many pears were picked in total ?,questionState
Daniel had some books,beforeState
He gave 5 books to Stephen,transferState
He now has 10 books,afterState
How many books did he have to start with ?,questionState
Daniel had some books,beforeState
He gave 5 books to Stephen,transferState
He now has 10 books,afterState
How many books did he have to start with ?,questionState
Sally had 27.0 Pokemon cards,beforeState
Dan gave her 41.0 new Pokemon cards,transferState
Sally bought 20.0 Pokemon cards,beforeState
How many Pokemon cards does Sally have now ?,questionState
Sally had 27.0 Pokemon cards,beforeState
Dan gave her 41.0 new Pokemon cards,transferState
Sally bought 20.0 Pokemon cards,beforeState
How many Pokemon cards does Sally have now ?,questionState
Sally bought 20.0 Pokemon cards,beforeState
Sally bought 20.0 Pokemon cards,beforeState
Stephen has 5 books,beforeState
Daniel has 4 books,beforeState
Daniel gave him 2 books,transferState
How many books Stephen has?,questionState
Stephen has 5 books,beforeState
Daniel has 4 books,beforeState
Daniel gave him 2 books,transferState
How many books Stephen has?,questionState
Tom has 9.0 yellow balloons,beforeState
Joan now has 28 dimes,afterState
Sara has 8.0 yellow balloons,beforeState
How many yellow balloons do they have in total ?,questionState
Tom has 9.0 yellow balloons,beforeState
Sara has 8.0 yellow balloons,beforeState
How many yellow balloons do they have in total ?,questionState
Mike has 6 pencils,beforeState
Sam had 9.0 dimes in his bank,beforeState
His dad gave him 7.0 dimes,transferState
How many dimes does Sam have now ?,questionState
Mike has 6 pencils,beforeState
Sam had 9.0 dimes in his bank,beforeState
His dad gave him 7.0 dimes,transferState
How many dimes does Sam have now ?,questionState
There are 2.0 pencils in the drawer,beforeState
Tim placed 3.0 pencils in the drawer,transferState
How many pencils are now there in total ?,questionState
There are 2.0 pencils in the drawer,beforeState
Tim placed 3.0 pencils in the drawer,transferState
How many pencils are now there in total ?,questionState
Joan found 6.0 seashells,beforeState
Jessica found 8.0 seashells on the beach,beforeState
How many seashells did they find together ?,questionState
Joan found 6.0 seashells,beforeState
Jessica found 8.0 seashells on the beach,beforeState
How many seashells did they find together ?,questionState
Sandy grew 6.0 carrots,beforeState
Sam grew 3.0 carrots,beforeState
How many carrots did they grow in total ?,questionState
Sandy grew 6.0 carrots,beforeState
Sam grew 3.0 carrots,beforeState
How many carrots did they grow in total ?,questionState
Benny picked 2.0 apples,beforeState
Dan picked 9.0 apples from the apple tree,beforeState
How many apples were picked in total ?,questionState
Benny picked 2.0 apples,beforeState
Dan picked 9.0 apples from the apple tree,beforeState
How many apples were picked in total ?,questionState
Tims cat had kittens,beforeState
He gave 3.0 to Jessica and 6.0 to Sara,transferState
He now has 9.0 kittens,beforeState
How many kittens did he have to start with ?,questionState
Tims cat had kittens,beforeState
He gave 3.0 to Jessica and 6.0 to Sara,transferState
He now has 9.0 kittens,beforeState
How many kittens did he have to start with ?,questionState
Joan has 9.0 blue balloons,beforeState
Sally has 5.0 blue balloons,beforeState
Jessica has 2.0 blue balloons,beforeState
How many blue balloons do they have in total ?,questionState
Joan has 9.0 blue balloons,beforeState
Sally has 5.0 blue balloons,beforeState
Jessica has 2.0 blue balloons,beforeState
How many blue balloons do they have in total ?,questionState
elanie had 7.0 dimes in her bank,beforeState
Her dad gave her 8.0 dimes,transferState
her mother gave her 4.0 dimes,transferState
How many dimes does Melanie have now ?,questionState
elanie had 7.0 dimes in her bank,beforeState
Her dad gave her 8.0 dimes,transferState
her mother gave her 4.0 dimes,transferState
How many dimes does Melanie have now ?,questionState
Sara grew 4.0 onions,beforeState
Sally grew 4.0 onions,beforeState
Fred grew 4.0 onions,beforeState
How many onions did they grow in all ?,questionState
Sara grew 4.0 onions,beforeState
Sally grew 4.0 onions,beforeState
Fred grew 4.0 onions,beforeState
How many onions did they grow in all ?,questionState
Jason has 44.0 blue and 16.0 red marbles,beforeState
Tom has 24.0 blue marbles,beforeState
How many blue marbles do they have in all ?,questionState
Jason has 44.0 blue and 16.0 red marbles,beforeState
Tom has 24.0 blue marbles,beforeState
How many blue marbles do they have in all ?,questionState
There are 11.0 rulers and 34.0 crayons in the drawer,beforeState
Tim placed 14.0 rulers in the drawer,transferState
How many rulers are now there in all ?,questionState
There are 11.0 rulers and 34.0 crayons in the drawer,beforeState
Tim placed 14.0 rulers in the drawer,transferState
How many rulers are now there in all ?,questionState
Keith has 20.0 books,beforeState
Jason has 21.0 books,beforeState
How many books do they have together ?,questionState
Keith has 20.0 books,beforeState
Jason has 21.0 books,beforeState
How many books do they have together ?,questionState
Alyssas dog had puppies,beforeState
She gave 7.0 to her friends,transferState
She now has 5.0 puppies,afterState
How many puppies did she have to start with ?,questionState
Alyssas dog had puppies,beforeState
She gave 7.0 to her friends,transferState
She now has 5.0 puppies,afterState
How many puppies did she have to start with ?,questionState
Sara has 31.0 red and 15.0 green balloons,beforeState
Sandy has 24.0 red balloons,beforeState
How many red balloons do they have in total ?,questionState
Sara has 31.0 red and 15.0 green balloons,beforeState
Sandy has 24.0 red balloons,beforeState
How many red balloons do they have in total ?,questionState
Joan picked 37.0 oranges,beforeState
Sara picked 10.0 oranges,beforeState
Alyssa picked 30.0 pears,beforeState
How many oranges were picked in total ?,questionState
Joan picked 37.0 oranges,beforeState
Sara picked 10.0 oranges,beforeState
Alyssa picked 30.0 pears,beforeState
How many oranges were picked in total ?,questionState
Joan has 40.0 blue balloons,beforeState
Melanie has 41.0 blue balloon,beforeState
How many blue balloons do they have in total ?,questionState
Joan has 40.0 blue balloons,beforeState
Melanie has 41.0 blue balloon,beforeState
How many blue balloons do they have in total ?,questionState
Sandy has 10.0 books,beforeState
Benny has 24.0 books,beforeState
Tim has 33.0 books,beforeState
How many books do they have together ?,questionState
Sandy has 10.0 books,beforeState
Benny has 24.0 books,beforeState
Tim has 33.0 books,beforeState
How many books do they have together ?,questionState
Jason picked 46.0 pears,beforeState
Keith picked 47.0 pears,beforeState
Mike picked 12.0 pears from the pear tree,beforeState
How many pears were picked in total ?,questionState
Jason picked 46.0 pears,beforeState
Keith picked 47.0 pears,beforeState
Mike picked 12.0 pears from the pear tree,beforeState
How many pears were picked in total ?,questionState
Daniel had some books,beforeState
He gave 5 books to Stephen,transferState
He now has 10 books,afterState
How many books did he have to start with ?,questionState
Daniel had some books,beforeState
He gave 5 books to Stephen,transferState
He now has 10 books,afterState
How many books did he have to start with ?,questionState
Sally had 27.0 Pokemon cards,beforeState
Dan gave her 41.0 new Pokemon cards,transferState
Sally bought 20.0 Pokemon cards,beforeState
How many Pokemon cards does Sally have now ?,questionState
Sally had 27.0 Pokemon cards,beforeState
Dan gave her 41.0 new Pokemon cards,transferState
Sally bought 20.0 Pokemon cards,beforeState
How many Pokemon cards does Sally have now ?,questionState
Stephen has 5 books,beforeState
Daniel has 4 books,beforeState
Daniel gave him 2 books,transferState
How many books Stephen has?,questionState
Stephen has 5 books,beforeState
Daniel has 4 books,beforeState
Daniel gave him 2 books,transferState
How many books Stephen has?,questionState
Tom has 9.0 yellow balloons,beforeState
Sara has 8.0 yellow balloons,beforeState
How many yellow balloons do they have in total ?,questionState
Tom has 9.0 yellow balloons,beforeState
Sara has 8.0 yellow balloons,beforeState
How many yellow balloons do they have in total ?,questionState
Mike has 6 pencils,beforeState
Sam had 9.0 dimes in his bank,beforeState
His dad gave him 7.0 dimes,transferState
How many dimes does Sam have now ?,questionState
Mike has 6 pencils,beforeState
Sam had 9.0 dimes in his bank,beforeState
His dad gave him 7.0 dimes,transferState
How many dimes does Sam have now ?,questionState
There are 2.0 pencils in the drawer,beforeState
Tim placed 3.0 pencils in the drawer,transferState
How many pencils are now there in total ?,questionState
There are 2.0 pencils in the drawer,beforeState
Tim placed 3.0 pencils in the drawer,transferState
How many pencils are now there in total ?,questionState
Joan found 6.0 seashells,beforeState
Jessica found 8.0 seashells on the beach,beforeState
How many seashells did they find together ?,questionState
Joan found 6.0 seashells,beforeState
Jessica found 8.0 seashells on the beach,beforeState
How many seashells did they find together ?,questionState
Sandy grew 6.0 carrots,beforeState
Sam grew 3.0 carrots,beforeState
How many carrots did they grow in total ?,questionState
Sandy grew 6.0 carrots,beforeState
Sam grew 3.0 carrots,beforeState
How many carrots did they grow in total ?,questionState
Benny picked 2.0 apples,beforeState
Dan picked 9.0 apples from the apple tree,beforeState
How many apples were picked in total ?,questionState
Benny picked 2.0 apples,beforeState
Dan picked 9.0 apples from the apple tree,beforeState
How many apples were picked in total ?,questionState
Tims cat had kittens,beforeState
He gave 3.0 to Jessica and 6.0 to Sara,transferState
He now has 9.0 kittens,beforeState
How many kittens did he have to start with ?,questionState
Tims cat had kittens,beforeState
He gave 3.0 to Jessica and 6.0 to Sara,transferState
He now has 9.0 kittens,beforeState
How many kittens did he have to start with ?,questionState
Joan has 9.0 blue balloons,beforeState
Sally has 5.0 blue balloons,beforeState
Jessica has 2.0 blue balloons,beforeState
How many blue balloons do they have in total ?,questionState
Joan has 9.0 blue balloons,beforeState
Sally has 5.0 blue balloons,beforeState
Jessica has 2.0 blue balloons,beforeState
How many blue balloons do they have in total ?,questionState
elanie had 7.0 dimes in her bank,beforeState
Her dad gave her 8.0 dimes,transferState
her mother gave her 4.0 dimes,transferState
How many dimes does Melanie have now ?,questionState
elanie had 7.0 dimes in her bank,beforeState
Her dad gave her 8.0 dimes,transferState
her mother gave her 4.0 dimes,transferState
How many dimes does Melanie have now ?,questionState
Sara grew 4.0 onions,beforeState
Sally grew 4.0 onions,beforeState
Fred grew 4.0 onions,beforeState
How many onions did they grow in all ?,questionState
Sara grew 4.0 onions,beforeState
Sally grew 4.0 onions,beforeState
Fred grew 4.0 onions,beforeState
How many onions did they grow in all ?,questionState
Jason has 44.0 blue and 16.0 red marbles,beforeState
Tom has 24.0 blue marbles,beforeState
How many blue marbles do they have in all ?,questionState
Jason has 44.0 blue and 16.0 red marbles,beforeState
Tom has 24.0 blue marbles,beforeState
How many blue marbles do they have in all ?,questionState
There are 11.0 rulers and 34.0 crayons in the drawer,beforeState
Tim placed 14.0 rulers in the drawer,transferState
How many rulers are now there in all ?,questionState
There are 11.0 rulers and 34.0 crayons in the drawer,beforeState
Tim placed 14.0 rulers in the drawer,transferState
How many rulers are now there in all ?,questionState
Keith has 20.0 books,beforeState
Jason has 21.0 books,beforeState
How many books do they have together ?,questionState
Keith has 20.0 books,beforeState
Jason has 21.0 books,beforeState
How many books do they have together ?,questionState
Alyssas dog had puppies,beforeState
She gave 7.0 to her friends,transferState
She now has 5.0 puppies,afterState
How many puppies did she have to start with ?,questionState
Alyssas dog had puppies,beforeState
She gave 7.0 to her friends,transferState
She now has 5.0 puppies,afterState
How many puppies did she have to start with ?,questionState
Sara has 31.0 red and 15.0 green balloons,beforeState
Sandy has 24.0 red balloons,beforeState
How many red balloons do they have in total ?,questionState
Sara has 31.0 red and 15.0 green balloons,beforeState
Sandy has 24.0 red balloons,beforeState
How many red balloons do they have in total ?,questionState
She now has 5.0 cookies,afterState
Sara picked 10.0 oranges,beforeState
Alyssa picked 30.0 pears,beforeState
How many oranges were picked in total ?,questionState
Joan now has 37.0 oranges,afterState
Sara picked 10.0 oranges,beforeState
Alyssa picked 30.0 pears,beforeState
How many oranges were picked in total ?,questionState
Joan has 40.0 blue balloons,beforeState
Melanie has 41.0 blue balloon,beforeState
How many blue balloons do they have in total ?,questionState
Joan has 40.0 blue balloons,beforeState
Melanie has 41.0 blue balloon,beforeState
How many blue balloons do they have in total ?,questionState
Sandy has 10.0 books,beforeState
Benny now has 4.0 books,afterState
Tim has 33.0 books,beforeState
How many books do they have together ?,questionState
Sandy has 10.0 books,beforeState
Benny has 24.0 books,beforeState
Tim has 33.0 books,beforeState
How many books do they have together ?,questionState
Jason picked 46.0 pears,beforeState
Keith now has 7.0 pears,afterState
Mike picked 12.0 pears from the pear tree,beforeState
How many pears were picked in total ?,questionState
Jason picked 46.0 pears,beforeState
Keith picked 47.0 pears,beforeState
Mike picked 12.0 pears from the pear tree,beforeState
How many pears were picked in total ?,questionState
Daniel had some books,beforeState
He gave 5 books to Stephen,transferState
He now has 10 books,afterState
How many books did he have to start with ?,questionState
Daniel had some books,beforeState
He gave 5 books to Stephen,transferState
He now has 10 books,afterState
How many books did he have to start with ?,questionState
Sally had 27.0 Pokemon cards,beforeState
Dan gave her 41.0 new Pokemon cards,transferState
Sally bought 20.0 Pokemon cards,beforeState
How many Pokemon cards does Sally have now ?,questionState
Sally had 27.0 Pokemon cards,beforeState
Dan gave her 41.0 new Pokemon cards,transferState
Sally bought 20.0 Pokemon cards,beforeState
How many Pokemon cards does Sally have now ?,questionState
Stephen has 5 books,beforeState
Daniel has 4 books,beforeState
Daniel gave him 2 books,transferState
How many books Stephen has?,questionState
Stephen has 5 books,beforeState
Daniel has 4 books,beforeState
Daniel gave him 2 books,transferState
How many books Stephen has?,questionState
Tom has 9.0 yellow balloons,beforeState
Tim now has 17 marbles,afterState
Sara has 8.0 yellow balloons,beforeState
How many yellow balloons do they have in total ?,questionState
Tom has 9.0 yellow balloons,beforeState
Sara has 8.0 yellow balloons,beforeState
How many yellow balloons do they have in total ?,questionState
Mike has 6 pencils,beforeState
Sam had 9.0 dimes in his bank,beforeState
His dad gave him 7.0 dimes,transferState
Mike has 6 pencils,beforeState
Sam had 9.0 dimes in his bank,beforeState
His dad gave him 7.0 dimes,transferState
How many dimes does Sam have now ?,questionState
There are 2.0 pencils in the drawer,beforeState
Tim placed 3.0 pencils in the drawer,transferState
How many pencils are now there in total ?,questionState
There are 2.0 pencils in the drawer,beforeState
Tim placed 3.0 pencils in the drawer,transferState
How many pencils are now there in total ?,questionState
Joan now has 6.0 seashells,afterState
Jessica found 8.0 seashells on the beach,beforeState
What is the total number of balloons Mike has now?,questionState
Alice bought 10 chocolates,beforeState
Can you tell how many coins Melanie has now?,questionState
How many onions does Emma have?,questionState
John received 34 candies from a friend,beforeState
Sam took 37 books from Bob,transferState
Tom transferred 7 pencils to Sophia,transferState
Jessica handed 24 balloons to Stephen,transferState
Daniel transferred 38 cookies to Fred,transferState
"After the exchange, how many books does Sam have?",questionState
Sophia brought 9 cookies,beforeState
Sophia received 6 chocolates from a friend,beforeState
Stephen brought 44 pencils,beforeState
Sam had 38 tickets,beforeState
Fred shared 29 tickets with John,transferState
Joan sent 10 balloons to Jason,transferState
Jason took 48 onions from Liam,transferState
How many erasers does Mike have?,questionState
Sara donated 17 cookies to Sophia,transferState
Daniel received 34 balloons from a friend,beforeState
Sara handed 38 books to Emma,transferState
Keith had 32 erasers,beforeState
"After giving to Sara, now Daniel has 33 pens",afterState
Daniel has 21 chocolates,beforeState
What is the total number of stamps Tom has now?,questionState
Alice transferred 12 candies to Melanie,transferState
What is the total number of chocolates Sophia has now?,questionState
Daniel bought 4 books,beforeState
Fred collected 5 apples,beforeState
Tom brought 41 erasers,beforeState
Sam took 31 carrots from Sally,transferState
How many cookies does Jessica have?,questionState
Jessica collected 30 pencils,beforeState
Bob transferred 19 carrots to Mike,transferState
Sam gave 31 erasers to Keith,transferState
Can you tell how many marbles Sara has now?,questionState
Stephen found 48 candies,beforeState
What is the total number of dollars Sophia has now?,questionState
Keith transferred 18 erasers to David,transferState
How many marbles does John have?,questionState
Bob bought 37 pencils,beforeState
Sally donated 27 marbles to Daniel,transferState
Alice collected 8 stamps,beforeState
Stephen sent 46 balls to Mike,transferState
"After taking from John, now Fred has 10 cookies",afterState
"After giving to Mike, now Sophia has 32 cookies",afterState
How many roses does Melanie have?,questionState
Stephen gave 44 cookies to Alice,transferState
David bought 26 marbles,beforeState
"After the exchange, how many candies does Melanie have?",questionState
David received 19 carrots from a friend,beforeState
Sara had 38 candies,beforeState
How many apples does Melanie have now?,questionState
"At present, Sally owns 47 balloons",afterState
Daniel collected 36 balls,beforeState
"After taking from Tom, now Emma has 27 tickets",afterState
Stephen collected 26 carrots,beforeState
Liam had 21 balloons,beforeState
Mike took 22 marbles from Jason,transferState
Emma found 3 pencils,beforeState
Sally has 12 bottles,beforeState
Mike gave 9 coins to Sara,transferState
Jessica handed 50 roses to Sara,transferState
Emma collected 8 pens,beforeState
"After the exchange, how many pencils does Liam have?",questionState
"Currently, Alice has 16 marbles",afterState
"After giving to Mike, now Fred has 19 bottles",afterState
Sophia gave 14 balls to Keith,transferState
Daniel gave 25 candies to Tom,transferState
Stephen received 36 cookies from a friend,beforeState
David brought 48 balloons,beforeState
Joan found 25 onions,beforeState
Sara brought 39 marbles,beforeState
Tom collected 28 books,beforeState
How many chocolates does Sally have?,questionState
David received 19 bottles from a friend,beforeState
"After the exchange, how many coins does Sophia have?",questionState
Melanie had 45 coins,beforeState
Emma transferred 2 balloons to Liam,transferState
"Currently, Liam has 36 toys",afterState
Sally has 10 marbles,beforeState
Mike sent 2 books to Sally,transferState
How many toys does Sophia have now?,questionState
Can you tell how many pens Daniel has now?,questionState
How many pencils does Jessica have?,questionState
How many candies does Daniel have?,questionState
Emma brought 15 tickets,beforeState
How many apples does Sara have?,questionState
Sophia received 22 toys from a friend,beforeState
Liam found 12 erasers,beforeState
Sophia bought 44 coins,beforeState
Emma had 25 marbles,beforeState
"After giving to Alice, now Keith has 23 pencils",afterState
"After giving to David, now Alice has 7 balls",afterState
"After taking from David, now Joan has 45 candies",afterState
Jason found 20 toys,beforeState
What is the total number of pencils Jason has now?,questionState
John found 49 pencils,beforeState
John gave 26 coins to Keith,transferState
What is the total number of balloons Sara has now?,questionState
Jason brought 32 erasers,beforeState
Daniel received 1 pencils from a friend,beforeState
How many carrots does Melanie have now?,questionState
What is the total number of bottles David has now?,questionState
Fred donated 48 balls to John,transferState
How many carrots does Tom have now?,questionState
Jason sent 2 onions to Stephen,transferState
Sophia bought 25 onions,beforeState
Jason transferred 24 bottles to Keith,transferState
Keith collected 3 apples,beforeState
Daniel transferred 38 stamps to Sally,transferState
Sara shared 48 candies with Tom,transferState
Mike donated 22 pencils to Melanie,transferState
Can you tell how many toys Mike has now?,questionState
Daniel sent 47 stamps to Keith,transferState
"Currently, Daniel has 34 toys",afterState
Stephen donated 10 cookies to Sara,transferState
What is the total number of erasers David has now?,questionState
John gave 25 toys to Stephen,transferState
Daniel bought 43 cookies,beforeState
Tom collected 45 balls,beforeState
"After giving to John, now Tom has 49 candies",afterState
"After taking from Fred, now Daniel has 22 bottles",afterState
Daniel has 5 cookies,beforeState
Jessica received 1 candies from a friend,beforeState
"After giving to Melanie, now Emma has 14 coins",afterState
Daniel shared 16 erasers with Emma,transferState
"After taking from Sally, now Fred has 14 stamps",afterState
Fred took 14 pencils from Sophia,transferState
Mike bought 39 cookies,beforeState
Jessica shared 41 balls with David,transferState
Stephen shared 12 roses with Emma,transferState
"After the exchange, how many marbles does Sam have?",questionState
Sam received 3 erasers from a friend,beforeState
Can you tell how many books Stephen has now?,questionState
Mike handed 23 balls to Sophia,transferState
Alice brought 27 bottles,beforeState
Sally donated 41 bottles to Melanie,transferState
How many roses does David have?,questionState
"After giving to John, now Fred has 34 apples",afterState
Sophia found 50 dollars,beforeState
"After the exchange, how many balloons does Melanie have?",questionState
Sam gave 42 dollars to Daniel,transferState
How many candies does John have?,questionState
"After taking from Tom, now Jason has 41 cookies",afterState
Melanie handed 48 candies to David,transferState
Daniel took 15 balloons from Tom,transferState
Sophia collected 10 balloons,beforeState
Sophia received 50 cookies from a friend,beforeState
Melanie found 19 stamps,beforeState
What is the total number of pens David has now?,questionState
Mike brought 47 dollars,beforeState
"At present, Alice owns 17 tickets",afterState
Liam donated 21 toys to Sally,transferState
John shared 5 balloons with Bob,transferState
Can you tell how many candies John has now?,questionState
How many tickets does David have now?,questionState
Sam brought 37 carrots,beforeState
David had 14 marbles,beforeState
What is the total number of stamps Sophia has now?,questionState
Bob has 24 candies,beforeState
Can you tell how many carrots Stephen has now?,questionState
Sam collected 48 bottles,beforeState
What is the total number of carrots Jessica has now?,questionState
"After giving to Tom, now David has 27 pencils",afterState
Bob found 27 dollars,beforeState
"After giving to Melanie, now Sara has 23 apples",afterState
Sam collected 9 books,beforeState
Liam found 20 pens,beforeState
What is the total number of stamps Bob has now?,questionState
Melanie had 33 onions,beforeState
Tom collected 5 pencils,beforeState
How many chocolates does Tom have?,questionState
Tom found 26 candies,beforeState
Keith sent 43 pencils to Mike,transferState
"After the exchange, how many roses does Jessica have?",questionState
"Currently, Sara has 23 roses",afterState
Alice received 22 stamps from a friend,beforeState
Alice brought 42 chocolates,beforeState
Sophia found 24 carrots,beforeState
Jason collected 37 cookies,beforeState
How many apples does Keith have now?,questionState
Can you tell how many pencils Sally has now?,questionState
Emma found 47 erasers,beforeState
How many balls does Sally have now?,questionState
Keith bought 14 chocolates,beforeState
Bob took 11 tickets from Emma,transferState
Sally shared 39 balloons with Keith,transferState
Sara gave 39 erasers to Melanie,transferState
"After taking from Mike, now Fred has 30 onions",afterState
"After giving to Melanie, now Emma has 24 books",afterState
David bought 31 marbles,beforeState
"After taking from Mike, now David has 26 coins",afterState
Alice donated 15 chocolates to Sally,transferState
Sophia collected 43 dollars,beforeState
Jason received 23 candies from a friend,beforeState
Jason gave 32 balloons to Fred,transferState
John has 23 candies,beforeState
Can you tell how many roses Stephen has now?,questionState
"After taking from Liam, now Sara has 14 marbles",afterState
"After the exchange, how many cookies does Liam have?",questionState
"Currently, Jason has 29 cookies",afterState
David found 18 candies,beforeState
Sara handed 36 coins to John,transferState
Can you tell how many chocolates Alice has now?,questionState
Emma sent 3 erasers to Sally,transferState
Alice handed 15 bottles to Mike,transferState
Stephen transferred 14 books to Jason,transferState
"After giving to Joan, now Emma has 46 carrots",afterState
What is the total number of pencils Fred has now?,questionState
"After the exchange, how many erasers does Sam have?",questionState
David bought 21 candies,beforeState
Sam has 21 tickets,beforeState
Melanie donated 40 toys to David,transferState
Stephen has 23 erasers,beforeState
Sam shared 3 chocolates with Keith,transferState
How many chocolates does Alice have now?,questionState
How many books does Melanie have now?,questionState
Keith transferred 15 pencils to Stephen,transferState
Now Jessica has 6 tickets,afterState
Stephen took 1 bottles from Jessica,transferState
"After the exchange, how many pencils does Sara have?",questionState
Jessica received 26 onions from a friend,beforeState
Sam collected 49 erasers,beforeState
David received 25 carrots from a friend,beforeState
"After giving to Sophia, now Emma has 11 books",afterState
Sam sent 37 erasers to Emma,transferState
John transferred 1 stamps to Joan,transferState
Can you tell how many bottles Daniel has now?,questionState
How many balls does Sophia have now?,questionState
What is the total number of candies Daniel has now?,questionState
Joan has 20 chocolates,beforeState
"At present, John owns 44 tickets",afterState
How many dollars does Sally have?,questionState
Liam found 41 toys,beforeState
What is the total number of erasers Bob has now?,questionState
Tom has 1 balloons,beforeState
How many erasers does Mike have?,questionState
Melanie found 4 roses,beforeState
